Vision:
z-50-2-205	10.12.2024 15:15:00	1247	1	8710400000075	LDC GELDERMALSEN
z-50-2-205	10.12.2024 15:15:00	1248	1	8710400000075	LDC GELDERMALSEN
z-50-2-205	10.12.2024 15:15:00	1249	1	8710400000075	LDC GELDERMALSEN

Tool:
Controlroom blijven staan												
WK	DG	Filiaal	Afl.tijd	Aantal	Locatie	Stroom	Oorzaak volgens cockpit	PendelNR	Naam	Tijd	Gemeld	Af
6	1	1146	17:30	3	2-feb	06 Bloemen	502 Overig		Can		j	j
6	1	1348	12:00	2	2-feb	10 Note	301 Transito te laat (AT)		Bert		j	j
6	1	8515	15:00	1	3-feb	01 RDC	201 Over na optoppen (AT)		Bert		j	j
6	1	8673	19:00	1	3-feb	09 LDC	502 Overig		Chris		j	j
6	1	5868	19:45	2	3-feb	01 RDC	502 Overig	Wordt niet uitgereden	Chris		j	j
6	1	5868	19:45	2	3-feb	09 LDC	502 Overig	Wordt niet uitgereden	Chris		j	j
6	1	5868	19:45	1	3-feb	10 Note	502 Overig	Wordt niet uitgereden	Chris		j	j
6	1	1598	18:00	5	3-feb	09 LDC	301 Transito te laat (AT)	104411	Chris		j	j
6	1	1168	19:30	4	3-feb	09 LDC	301 Transito te laat (AT)	104411	Chris		j	j
6	1	5557	19:00	2	3-feb	09 LDC	301 Transito te laat (AT)	104411	Chris		j	
6	1	1823	19:00	5	3-feb	09 LDC	301 Transito te laat (AT)	104411	Chris		j	j
6	1	1490	17:45	4	3-feb	09 LDC	301 Transito te laat (AT)	104411	Chris		j	j
6	1	8598	18:30	4	3-feb	09 LDC	301 Transito te laat (AT)	104411	Chris		j	j
6	1	1232	19:30	5	3-feb	09 LDC	301 Transito te laat (AT)	104411	Chris		j	j
6	1	4046	18:00	7	3-feb	09 LDC	301 Transito te laat (AT)	104411	Chris		j	j
6	1	1080	18:00	5	3-feb	09 LDC	301 Transito te laat (AT)	104411	Chris		j	j
6	1	1289	18:30	5	3-feb	09 LDC	301 Transito te laat (AT)	104411	Chris		j	j
6	1	1282	17:00	5	3-feb	09 LDC	301 Transito te laat (AT)	104411	Chris		j	j
6	1	1873	21:45	5	3-feb	09 LDC	301 Transito te laat (AT)	127434	Chris		j	j
6	1	1001	21:00	7	3-feb	09 LDC	301 Transito te laat (AT)	127434	Chris		j	j
6	1	2221	21:00	1	4-feb	01 RDC	101 Productie RDC (DC)		Deniz K		j	j
6	2	1048	16:00	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Recai		j	j
6	2	1062	15:30	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Recai		j	j
6	2	1062	15:30	1	4-feb	06 Bloemen	502 Overig		Recai		j	j
6	2	1062	15:30	1	4-feb	10 Note	502 Overig		Recai		j	j
6	2	1247	15:15	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Recai		j	j
6	2	1316	17:00	3	4-feb	09 LDC	502 Overig		Recai		j	j
6	2	1316	17:00	1	4-feb	10 Note	502 Overig		Recai		j	j
6	2	1316	17:00	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Recai		j	j
6	2	1504	12:30	1	4-feb	01 RDC	502 Overig		Recai		j	j
6	2	1594	11:00	1	4-feb	09 LDC	301 Transito te laat (AT)		Recai		j	j
6	2	1628	15:00	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Recai		j	j
6	2	2276	16:30	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Recai		j	j
6	2	8635	14:15	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Recai		j	j
6	2	8711	14:30	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Recai		j	j
6	2	1155	16:30	1	4-feb	09 LDC	301 Transito te laat (AT)		Bert		j	j
6	2	1146	17:30	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	1148	16:30	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	1166	15:30	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	1354	18:30	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	1406	16:30	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	1425	17:00	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	1482	19:30	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	1554	17:00	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	1598	18:00	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	1628	15:00	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	1633	18:30	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	1823	19:00	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	2276	16:30	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	4025	18:00	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	4106	20:00	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	8512	20:30	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	8634	17:00	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	8635	14:15	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	8711	14:30	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Bert		j	j
6	2	1033	16:15	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Recai		j	j
6	2	1583	18:00	1	4-feb	14 Winkel inventaris	301 Transito te laat (AT)		Recai		j	j
6	2	5865	21:00	8	4-feb	01 RDC	502 Overig	Wordt niet uitgereden	Deniz  		j	j
6	2	5865	21:00	8	4-feb	09 LDC	502 Overig	Wordt niet uitgereden	Deniz  		j	j
6	2	5865	21:00	2	4-feb	10 Note	502 Overig	Wordt niet uitgereden	Deniz  		j	j
6	2	5873	21:00	1	4-feb	10 Note	502 Overig	Wordt niet uitgereden	Deniz  		j	j
